rate,hwytype,trks,acpt,sigs,slim,len,shld
4.58,FederalInt,8,4.6,0,55,4.99,10
2.86,FederalInt,8,4.4,0,60,16.11,10
3.02,FederalInt,10,4.7,0,60,9.75,10
2.29,FederalInt,13,3.8,0,65,10.65,10
1.61,FederalInt,12,2.2,0,70,20.01,10
6.87,PrincipalArt,6,24.8,1.84,55,5.97,10
3.85,PrincipalArt,8,11,0.7,55,8.57,8
6.12,PrincipalArt,9,18.5,0.38,55,5.24,10
3.29,PrincipalArt,12,7.5,1.39,50,15.79,4
5.88,PrincipalArt,7,8.2,1.21,50,8.26,5
4.2,PrincipalArt,6,5.4,1.85,60,7.03,10
4.61,PrincipalArt,9,11.2,1.21,50,13.28,2
4.8,PrincipalArt,14,15.2,0.56,50,5.4,8
3.85,PrincipalArt,8,5.4,0,60,2.96,10
2.69,PrincipalArt,7,7.9,0.6,55,11.75,10
1.99,PrincipalArt,9,3.2,0,60,8.86,10
2.01,PrincipalArt,9,11,0.1,60,9.78,10
4.22,PrincipalArt,11,8.9,0.18,50,5.49,6
2.76,PrincipalArt,8,12.4,0,55,8.63,6
2.55,PrincipalArt,7,7.8,0.99,60,20.31,10
1.89,PrincipalArt,13,9.6,0.12,55,40.09,8
2.34,PrincipalArt,8,4.3,0,60,11.81,10
2.83,PrincipalArt,9,11.1,0.09,50,11.39,8
1.81,PrincipalArt,15,6.8,0,60,22,7
9.23,Major,6,53,2.51,40,3.58,2
8.6,Major,6,17.3,0.93,45,3.23,2
8.21,Major,8,27.3,0.52,55,7.73,8
2.93,Major,10,18,0.07,55,14.41,6
7.48,Major,7,30.2,0.09,45,11.54,3
2.57,Major,8,10.3,0,60,11.1,7
5.77,Major,8,18.2,0.14,45,22.09,3
2.9,Major,10,12.3,0,55,9.39,1
2.97,Major,13,7.1,0,55,19.49,4
1.84,Major,12,14,0.1,55,21.01,8
3.78,Major,10,11.3,0.04,55,27.16,3
2.76,Major,8,16.3,0,50,14.03,4
4.27,Major,11,9.6,0,55,20.63,4
3.05,Major,11,9,0,60,20.06,8
4.12,Major,10,10.4,0,55,12.91,3
